01-ordinary-world	a small cottage with one lit window beside a long empty road winding away to distant hills, a tiny figure at the gate looking down the road
02-call	a figure opening a door to find a large raven on the doorstep holding a sealed letter in its beak
03-refusal	a figure seated with back turned to an open doorway, through the doorway a path leads to mountains, the figure looks at the floor
04-mentor	an old cloaked figure handing a glowing lantern to a young figure, both in profile, a dark forest edge behind them
05-threshold	a lone figure mid-step onto a rope bridge over a deep gorge, mist below, the far side lost in dark
06-tests	three figures around a small campfire in a forest clearing at night, pairs of eyes watching from the trees
07-approach	two small figures climbing a steep path toward a castle on a crag under a black sky, a single lit window in the tower
08-ordeal	a figure sinking underwater with arms spread, a great coiled serpent below, a single shaft of light from above
09-reward	a figure kneeling and holding up a small cup that throws light across cave walls
10-road-back	a figure running along a narrow mountain ridge, a storm of birds rising behind them
11-resurrection	a figure standing in a ring of fire with arms out, sparks rising, the flames shaped like wings
12-return	a figure walking back into a village at dawn carrying a small lantern, villagers waiting at the gate, the same cottage from before
13-broken	a torn map with a ragged hole in the centre, a tiny figure walking off its edge into blank paper
14-books	a tall stack of old books with a candle burning on top, a moth circling the flame
15-circle	a figure walking a circular path that loops around a mountain and back to a small house, seen from above like a map
